Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH
NMC,7,D4-100,2.1,1.9134,5,50,45.55714285714286,3.8488,3.8647,3.8709,3.855,3.8504,3.8346,3.829,3.8451,3.8482,3.8805,3.8919,3.8603,3.8519,3.8194,3.8082,3.8411,3.8476,3.9127,3.9344,3.8718,3.8547,0.9111428571428571,3.85815238095238
NMC,10,D4-400,2.1,1.7384,5,45,37.25142857142857,3.8498,3.8653,3.8705,3.8557,3.8513,3.8358,3.8299,3.8451,3.8488,3.8786,3.8904,3.86,3.8526,3.8222,3.8107,3.8414,3.8479,3.9096,3.9307,3.8705,3.8557,0.8278095238095238,3.8582142857142854
NMC,24,H3-100,2.1,1.8995,5,50,45.226190476190474,3.8498,3.8662,3.8721,3.8557,3.8513,3.8349,3.829,3.8454,3.8488,3.8817,3.8935,3.8606,3.8526,3.8203,3.8079,3.8414,3.8482,3.9136,3.936,3.8709,3.8557,0.9045238095238095,3.8588380952380965
NMC,38,I3-400,2.1,1.745,5,45,37.392857142857146,3.8501,3.8662,3.8721,3.856,3.8519,3.8346,3.8287,3.8451,3.8485,3.8826,3.8938,3.8606,3.8529,3.8188,3.8076,3.8414,3.8479,3.9149,3.9372,3.8712,3.856,0.830952380952381,3.8589571428571428
NMC,18,E4-100,2.1,1.9052,5,50,45.36190476190476,3.8501,3.8665,3.8724,3.8566,3.8516,3.8352,3.8293,3.8457,3.8488,3.8823,3.8938,3.8616,3.8532,3.8206,3.8085,3.8414,3.8482,3.9109,3.9363,3.8724,3.856,0.9072380952380952,3.8591142857142855
NMC,1,D3-100,2.1,1.9155,5,50,45.60714285714286,3.8498,3.8668,3.8727,3.856,3.8513,3.8343,3.8284,3.8457,3.8488,3.8833,3.8947,3.8606,3.8526,3.8188,3.8073,3.8414,3.8482,3.9146,3.9384,3.8733,3.856,0.9121428571428571,3.8591904761904763
NMC,52,J2-100,2.1,1.9156,5,50,45.60952380952381,3.8495,3.8674,3.8736,3.8557,3.8513,3.8343,3.8275,3.8454,3.8492,3.8845,3.8966,3.8609,3.8526,3.8172,3.8048,3.8408,3.8482,3.9195,3.9428,3.8718,3.8554,0.9121904761904761,3.8594761904761907
NMC,54,J2-300,2.1,1.7876,5,45,38.30571428571429,3.8498,3.8674,3.8736,3.8563,3.8516,3.8358,3.8281,3.8454,3.8495,3.8842,3.8966,3.8622,3.8529,3.8182,3.8054,3.8405,3.8485,3.9183,3.9425,3.8733,3.856,0.8512380952380952,3.859814285714285
NMC,41,I4-100,2.1,1.8945,5,50,45.10714285714286,3.851,3.8671,3.8733,3.8572,3.8526,3.8358,3.8299,3.8467,3.8501,3.8833,3.895,3.8622,3.8541,3.8206,3.8095,3.8417,3.8492,3.9152,3.9378,3.8727,3.8569,0.9021428571428571,3.860090476190476
NMC,43,I4-400,2.1,1.7245,5,45,36.95357142857142,3.8529,3.869,3.8749,3.8588,3.8544,3.8386,3.8327,3.8488,3.8523,3.8845,3.8963,3.8643,3.856,3.8237,3.812,3.8445,3.8513,3.9155,3.9388,3.8749,3.8588,0.8211904761904761,3.862047619047619
NMC,29,H4-100,2.1,1.8972,5,50,45.17142857142857,3.8538,3.869,3.8755,3.86,3.8557,3.8389,3.833,3.8488,3.8523,3.8845,3.8966,3.8647,3.8566,3.8244,3.8126,3.8445,3.8516,3.9133,3.9384,3.8755,3.8594,0.9034285714285714,3.862338095238096
NMC,51,J1-600,2.1,1.469,5,40,27.98095238095238,3.8532,3.8699,3.8761,3.8591,3.8547,3.8386,3.8318,3.8485,3.8519,3.886,3.8978,3.8653,3.856,3.8228,3.8104,3.8439,3.851,3.9189,3.9419,3.8771,3.8588,0.6995238095238095,3.8625571428571432
NMC,26,H3-400,2.1,1.7239,5,45,36.940714285714286,3.8541,3.8709,3.8761,3.86,3.856,3.8392,3.8337,3.8501,3.8532,3.8854,3.8975,3.865,3.8572,3.8247,3.8129,3.8454,3.8526,3.9186,3.94,3.8752,3.86,0.8209047619047619,3.863228571428571
NMC,36,I3-200,2.1,1.8665,5,50,44.44047619047619,3.8547,3.8712,3.8764,3.86,3.8563,3.8399,3.8343,3.8507,3.8535,3.886,3.8978,3.865,3.8575,3.8262,3.8132,3.8464,3.8529,3.9177,3.9403,3.8749,3.8603,0.8888095238095238,3.863580952380952
NMC,13,E3-200,2.1,1.8787,5,50,44.73095238095238,3.8557,3.8702,3.8764,3.8619,3.8569,3.8423,3.8364,3.851,3.8547,3.8857,3.8963,3.8668,3.8585,3.8278,3.8169,3.8473,3.8541,3.9127,3.9363,3.8767,3.8612,0.8946190476190476,3.864085714285714
NMC,21,E4-400,2.1,1.7229,5,45,36.919285714285714,3.855,3.8709,3.8767,3.8612,3.8566,3.842,3.8355,3.851,3.8547,3.886,3.8972,3.8662,3.8578,3.8275,3.8154,3.847,3.8535,3.9164,3.9391,3.878,3.8609,0.8204285714285714,3.864219047619047
NMC,11,D4-500,2.1,1.6765,5,45,35.925000000000004,3.8557,3.8712,3.8764,3.8612,3.8572,3.8423,3.8358,3.8513,3.8547,3.886,3.8966,3.8665,3.8585,3.8275,3.8166,3.8476,3.8535,3.9158,3.9375,3.8771,3.8612,0.7983333333333333,3.864295238095239
NMC,16,E3-500,2.1,1.6929,5,45,36.276428571428575,3.856,3.8715,3.8771,3.8619,3.8578,3.8423,3.8364,3.8523,3.8557,3.8854,3.8978,3.8668,3.8591,3.8287,3.8169,3.8479,3.8544,3.9149,3.9384,3.8774,3.8619,0.8061428571428572,3.864790476190476
NMC,49,J1-400,2.1,1.7234,5,45,36.93,3.8563,3.8721,3.878,3.8628,3.8578,3.8423,3.8361,3.8519,3.8557,3.8867,3.8984,3.8671,3.8591,3.8278,3.8163,3.8473,3.8547,3.9167,3.9403,3.8792,3.8625,0.8206666666666667,3.8651952380952372
NMC,44,I4-500,2.1,1.6775,5,45,35.94642857142857,3.8569,3.8724,3.8786,3.8625,3.8585,3.8423,3.8361,3.8526,3.856,3.8888,3.9,3.8678,3.8594,3.8287,3.8154,3.8476,3.8547,3.9195,3.9431,3.878,3.8625,0.7988095238095237,3.8657809523809514
NMC,59,J3-300,2.1,1.7594,5,45,37.70142857142857,3.8569,3.8733,3.8795,3.8634,3.8585,3.8423,3.8358,3.8526,3.856,3.8888,3.9012,3.8687,3.8603,3.8271,3.8151,3.8479,3.8554,3.9198,3.9446,3.8802,3.8628,0.8378095238095238,3.8662
NMC,31,H4-300,2.1,1.757,5,45,37.65,3.8578,3.8724,3.8798,3.8643,3.8594,3.843,3.8368,3.8529,3.8566,3.8888,3.9006,3.8693,3.8606,3.8281,3.8166,3.8485,3.8557,3.9183,3.9431,3.8802,3.8637,0.8366666666666666,3.8665
